区域,新增,累计,治愈,死亡
美国,98798,46681976,36553885,763774
印度,14465,34245530,33619942,457221
巴西,17184,21781436,20979324,607125
英国,0,8936155,7261767,140206
俄罗斯,40096,8392697,7272053,235057
土耳其,26896,7961535,7404472,69998
法国,6528,7146755,6930197,117622
伊朗,11409,5899509,5468620,125875
阿根廷,1485,5286074,5151229,115916
西班牙,2532,5008887,4862672,87322
哥伦比亚,1680,4997444,4840891,127195
意大利,4595,4757231,4548449,132004
德国,26796,4553730,4247000,96062
印度尼西亚,723,4242532,4086759,143333
墨西哥,4797,3793783,3156269,287274
波兰,8382,2998891,2693373,76773
南非,472,2921114,2813442,89104
乌克兰,26071,2851804,2411711,66204
菲律宾,3642,2772491,2680081,42575
马来西亚,0,2454749,2354622,28769
秘鲁,986,2198038,1720665,200149
荷兰,7683,2108549,1981236,18371
伊拉克,1471,2052123,1996126,23083
泰国,9658,1884973,1766823,19006
捷克,5842,1747701,1669764,30689
日本,273,1717649,1694929,18237
加拿大,2172,1709529,1655268,28928
智利,2136,1688454,1636151,37719
罗马尼亚,13197,1616027,1371046,46430
孟加拉国,294,1568857,1532695,27847
比利时,8771,1342718,1210640,25946
以色列,229,1326171,1307148,8081
巴基斯坦,705,1271027,1219174,28414
瑞典,892,1170422,1137002,14984
塞尔维亚,6697,1125602,990667,9761
葡萄牙,888,1088133,1038529,18149
古巴,900,949747,936832,8219
摩洛哥,398,945504,925820,14654
哈萨克斯坦,1699,934387,878983,12028
越南,4892,905477,813963,21910
瑞士,1793,870834,826584,11233
匈牙利,4039,859378,797142,30692
约旦,3584,858342,827523,11000
奥地利,4248,813334,765385,11316
尼泊尔,527,811407,789789,11382
阿拉伯联合酋长国,88,739654,733782,2135
希腊,3639,731167,676427,15801
突尼斯,126,712230,685634,25227
格鲁吉亚,4009,707290,647878,9918
黎巴嫩,751,639995,614503,8480
危地马拉,1351,599042,577526,14928
白俄罗斯,1979,594203,567058,4580
保加利亚,5643,592943,475949,23718
哥斯达黎加,732,559250,492619,7021
沙特阿拉伯,51,548474,537453,8788
斯里兰卡,532,538860,511863,13696
阿塞拜疆,2420,524788,489032,6995
厄瓜多尔,200,515859,443880,32958
玻利维亚,1384,511854,474163,18911
缅甸,0,497700,463349,18622
巴拿马,173,472057,462486,7314
斯洛伐克,4981,470008,418800,12977
巴拉圭,79,460944,444391,16243
克罗地亚,4154,458090,426566,9142
爱尔兰,0,438124,381782,5436
巴勒斯坦,355,422641,411884,4395
科威特,16,412619,409756,2461
委内瑞拉,911,403318,385614,4848
立陶宛,3485,399532,354595,5766
乌拉圭,294,393139,385070,6076
丹麦,1847,382796,364002,2709
多米尼加,1951,379336,369087,4124
洪都拉斯,226,375009,115697,10219
埃塞俄比亚,472,364098,338776,6428
韩国,1950,358412,330853,2808
利比亚,596,356086,293779,5061
蒙古国,1625,355129,313256,1699
摩尔多瓦,1826,334287,310306,7665
斯洛文尼亚,2646,328729,300244,4723
埃及,907,328209,276801,18483
阿曼,22,304241,299580,4111
亚美尼亚,2307,302450,264678,6189
巴林,50,276718,274798,1393
肯尼亚,80,253018,246569,5270
波黑,819,252083,192218,11477
卡塔尔,0,238950,237225,609
拉脱维亚,2919,211702,173054,3173
尼日利亚,166,211678,202930,2892
赞比亚,24,209672,205904,3660
阿尔及利亚,79,206160,141468,5907
挪威,1096,204730,88952,900
北马其顿,436,201292,187695,7098
爱沙尼亚,1992,188522,162891,1491
新加坡,5324,187851,155928,364
博茨瓦纳,0,186594,182928,2406
乌兹别克斯坦,342,184905,180591,1316
阿尔巴尼亚,672,183873,173443,2902
吉尔吉斯斯坦,124,180989,175402,2664
澳大利亚,2038,165904,133446,1696
芬兰,673,156959,46000,1150
阿富汗,42,156166,128573,7268
莫桑比克,10,151260,149182,1929
黑山,499,142807,136212,2087
津巴布韦,84,132880,127596,4675
加纳,0,130077,127121,1175
纳米比亚,0,128880,124536,3550
乌干达,59,125920,96597,3209
塞浦路斯,200,122295,90755,572
柬埔寨,109,118220,114063,2766
萨尔瓦多,0,113422,94980,3604
喀麦隆,2210,102499,80433,1686
卢旺达,40,99565,45514,1327
牙买加,50,88666,57362,2199
马尔代夫,173,87487,85531,243
卢森堡,0,81501,78695,843
塞内加尔,2,73904,72001,1878
安哥拉,93,64226,53180,1705
马拉维,8,61782,57244,2298
科特迪瓦,31,61267,59915,691
刚果（金）,17,57470,50930,1091
特立尼达和多巴哥,147,56546,50145,1668
留尼汪岛,0,54668,53879,374
瓜德罗普,187,54537,2250,742
斐济,0,52079,49143,673
苏里南,122,48670,29455,1074
斯威士兰,3,46396,45125,1242
法属圭亚那,91,44554,9995,306
马达加斯加,0,42898,41322,958
马提尼克,0,42634,104,670
叙利亚,275,42621,26108,2542
苏丹,0,40238,32905,3099
法属波利尼西亚,0,40178,33500,636
老挝,530,38281,6558,59
佛得角,18,38181,37636,349
马耳他,15,37610,36537,460
毛里塔尼亚,62,37155,35812,794
圭亚那合作共和国,82,35350,31521,904
加蓬,354,35252,28784,235
几内亚,6,30653,29516,385
巴布亚新几内亚,336,28823,25694,345
伯利兹,274,26625,23471,491
坦桑尼亚,39,26154,183,725
多哥,13,26036,25504,242
贝宁,0,24749,24346,161
海地,154,23823,20286,662
巴哈马,0,22351,21079,643
塞舌尔,0,22086,21747,119
莱索托,2,21624,12343,657
索马里,0,21269,9927,1180
马约特,0,20497,2964,182
布隆迪,34,19988,773,38
东帝汶,0,19785,19613,122
毛里求斯,0,17586,1854,164
刚果（布）,0,17323,12421,258
塔吉克斯坦,0,17086,16960,124
库拉索,20,17053,16729,174
巴巴多斯,391,16782,10907,151
尼加拉瓜,0,16422,4225,207
马里,45,15947,14616,562
阿鲁巴,17,15882,15534,171
安道尔,37,15505,15228,130
布基纳法索,0,14793,14287,214
吉布提,0,13472,13228,181
冰岛,100,13413,12540,33
赤道几内亚,0,13236,12565,163
海峡群岛,78,12990,12242,100
文莱,113,12823,10448,83
圣卢西亚,21,12517,11923,253
南苏丹,34,12348,12008,133
中非共和国,0,11518,6859,100
新喀里多尼亚,80,10848,55,264
冈比亚,4,9963,9610,340
也门,23,9751,6341,1874
马恩岛,0,9517,8492,57
厄立特里亚,0,6806,6721,45
塞拉利昂,0,6396,4393,121
尼日尔,40,6300,5954,211
几内亚比绍,0,6133,5542,141
新西兰,96,5995,4574,28
直布罗陀,24,5943,5659,98
格林纳达,6,5830,5509,197
利比里亚,1,5812,5458,287
百慕大,12,5637,5438,100
圣马力诺,0,5509,5383,92
乍得,0,5067,4874,174
圣文森特和格林纳丁斯,0,4941,3085,65
多米尼克,32,4742,4270,31
圣马丁岛,2,4488,4383,75
科摩罗,6,4239,4049,147
安提瓜和巴布达,5,4040,3659,102
圣多美和普林西比,0,3705,3232,56
列支敦士登,4,3551,3449,61
摩纳哥,5,3407,3344,36
特克斯和凯科斯群岛,13,2974,2887,23
英属维尔京群岛,0,2725,2649,37
圣基茨和尼维斯,20,2657,2471,21
不丹,1,2621,2610,3
法罗群岛,68,1930,1349,2
圣巴泰勒米岛,0,1589,462,6
开曼群岛,217,1496,973,2
安圭拉,0,859,749,1
格陵兰岛,0,787,704,0
钻石公主号邮轮,0,712,699,13
瓦利斯和富图纳群岛,0,445,438,7
马尔维纳斯群岛,0,68,67,0
蒙特塞拉特,0,41,34,1
圣皮埃尔,0,32,32,0
梵蒂冈,0,27,27,0
所罗门群岛,0,20,20,0
帕劳共和国,0,8,8,0
瓦努阿图共和国,0,6,3,1
马绍尔群岛,0,4,4,0
萨摩亚独立国,0,3,3,0
圣赫勒拿,0,2,2,0
密克罗尼西亚,0,1,1,0
